"Controls","Parameters"
"DOR_control","scale: 100 | max: 1 | resp_times: resp_time | rft_times: rft_time | reserve_value: reserve | fx: linear_DOR"
"emission_control","reserve_value: reserve | time: time_input | min_IRT: 1 | fx: G_E_emission"
"dep_control","deplete: 0.01 | reserve_value: reserve | fx: constant_dep"
"initial_reserve_control","initial: 0.75 | fx: constant_initial"
"event_control","VI_interval: 2 | time: time_input | fx: vi"
"termination_control","time: time_input | finish_time: 1000 | fx: time_termination"
"food_duration_control","food_dur: 3 | time: time_input | fx: constant_food_duration"
"time","event"
2.8650724341836,"resp_time"
4.24411100266879,"resp_time"
5.51537344060211,"resp_time"
6.64583369811217,"resp_time"
9.43791340112892,"resp_time"
11.0270572962525,"resp_time"
12.358855363178,"resp_time"
14.4638016427607,"resp_time"
14.4638016427607,"rft_time"
18.4638016427607,"resp_time"
19.5316637123508,"resp_time"
20.6282385569056,"resp_time"
21.9698208846881,"resp_time"
23.3965135528745,"resp_time"
24.7870832592554,"resp_time"
26.3387692521814,"resp_time"
27.6543920959378,"resp_time"
27.6543920959378,"rft_time"
31.6543920959378,"resp_time"
32.6812605106782,"resp_time"
34.1078874338072,"resp_time"
35.7243197325382,"resp_time"
35.7243197325382,"rft_time"
39.7243197325382,"resp_time"
40.9219161410812,"resp_time"
42.1961074705855,"resp_time"
43.8512393096594,"resp_time"
43.8512393096594,"rft_time"
47.8512393096594,"resp_time"
48.852460795898,"resp_time"
50.8095730883584,"resp_time"
52.0225718427426,"resp_time"
53.0545980133142,"resp_time"
54.8645159821452,"resp_time"
54.8645159821452,"rft_time"
58.8645159821452,"resp_time"
59.9833446995657,"resp_time"
61.1483731488111,"resp_time"
62.357136385252,"resp_time"
64.0604939549021,"resp_time"
65.116097187222,"resp_time"
66.397945827898,"resp_time"
67.4257718452992,"resp_time"
68.4930283793142,"resp_time"
70.1341885581067,"resp_time"
71.209931906384,"resp_time"
72.3479477828835,"resp_time"
73.3870212601435,"resp_time"
74.4790914743069,"resp_time"
75.8442461265103,"resp_time"
77.8621601310009,"resp_time"
79.1141890331887,"resp_time"
80.3525077341654,"resp_time"
81.3634949810146,"resp_time"
82.760106031234,"resp_time"
82.760106031234,"rft_time"
86.760106031234,"resp_time"
88.2606878847449,"resp_time"
89.340235773016,"resp_time"
90.3645818106914,"resp_time"
91.6948800430677,"resp_time"
92.7939207726333,"resp_time"
94.1221025587391,"resp_time"
96.15294342459,"resp_time"
97.5612867049056,"resp_time"
97.5612867049056,"rft_time"
101.561286704906,"resp_time"
103.016202614497,"resp_time"
104.043716424932,"resp_time"
105.065611617467,"resp_time"
106.171347995115,"resp_time"
107.317485513887,"resp_time"
108.453067442168,"resp_time"
110.235853455083,"resp_time"
111.918768680001,"resp_time"
111.918768680001,"rft_time"
115.918768680001,"resp_time"
116.985545516973,"resp_time"
119.185574592582,"resp_time"
120.368469931822,"resp_time"
121.426086823688,"resp_time"
123.989540199488,"resp_time"
125.073688617197,"resp_time"
126.704699143364,"resp_time"
127.817195455776,"resp_time"
130.738650258075,"resp_time"
130.738650258075,"rft_time"
134.738650258075,"resp_time"
135.783050504844,"resp_time"
136.817984363449,"resp_time"
138.013592127205,"resp_time"
139.137586554149,"resp_time"
140.374860456048,"resp_time"
141.419128757244,"resp_time"
142.548668451707,"resp_time"
143.733269534539,"resp_time"
144.778029129943,"resp_time"
146.024384695864,"resp_time"
147.267330300194,"resp_time"
147.267330300194,"rft_time"
151.267330300194,"resp_time"
152.726825943478,"resp_time"
153.926000795454,"resp_time"
154.933077538564,"resp_time"
156.269498255839,"resp_time"
157.344771217066,"resp_time"
158.382230107047,"resp_time"
160.083066359287,"resp_time"
161.360255588004,"resp_time"
163.159851384091,"resp_time"
164.162334938104,"resp_time"
164.162334938104,"rft_time"
168.162334938104,"resp_time"
169.209344451852,"resp_time"
170.261948189115,"resp_time"
171.335779067798,"resp_time"
173.530202237308,"resp_time"
173.530202237308,"rft_time"
177.530202237308,"resp_time"
178.857902347135,"resp_time"
179.968168238307,"resp_time"
179.968168238307,"rft_time"
183.968168238307,"resp_time"
185.092023634721,"resp_time"
187.216328593789,"resp_time"
188.280613963462,"resp_time"
189.495688606717,"resp_time"
190.539832039609,"resp_time"
192.205399251145,"resp_time"
192.205399251145,"rft_time"
196.205399251145,"resp_time"
197.382649706605,"resp_time"
198.578089704432,"resp_time"
198.578089704432,"rft_time"
202.578089704432,"resp_time"
203.672801203726,"resp_time"
204.795788717307,"resp_time"
206.113112837,"resp_time"
207.446298364061,"resp_time"
207.446298364061,"rft_time"
211.446298364061,"resp_time"
211.446298364061,"rft_time"
215.446298364061,"resp_time"
216.534077383839,"resp_time"
216.534077383839,"rft_time"
220.534077383839,"resp_time"
221.594761349644,"resp_time"
222.740678090982,"resp_time"
224.700636146727,"resp_time"
225.751832856078,"resp_time"
226.863348275268,"resp_time"
227.96039053942,"resp_time"
229.445909551098,"resp_time"
230.833669783201,"resp_time"
233.205002472177,"resp_time"
234.570434444369,"resp_time"
235.903983495765,"resp_time"
236.911804934269,"resp_time"
238.065461286822,"resp_time"
239.393584580123,"resp_time"
240.816595221227,"resp_time"
242.276405683042,"resp_time"
243.652582584775,"resp_time"
245.375646016851,"resp_time"
247.041526407101,"resp_time"
248.854963977663,"resp_time"
250.406319951974,"resp_time"
251.552323339933,"resp_time"
254.353111483303,"resp_time"
254.353111483303,"rft_time"
258.353111483303,"resp_time"
259.403398267825,"resp_time"
260.687739465847,"resp_time"
261.764999840458,"resp_time"
263.22198753778,"resp_time"
264.367676377297,"resp_time"
265.5651088641,"resp_time"
267.227753047112,"resp_time"
270.861834346151,"resp_time"
271.931271434725,"resp_time"
273.340880100247,"resp_time"
274.358624498348,"resp_time"
275.580968602393,"resp_time"
275.580968602393,"rft_time"
279.580968602393,"resp_time"
280.656695128502,"resp_time"
281.762589509944,"resp_time"
283.42191379868,"resp_time"
284.677965417419,"resp_time"
286.046725914564,"resp_time"
287.524811373933,"resp_time"
288.544149670927,"resp_time"
289.564386275472,"resp_time"
290.798149665492,"resp_time"
292.624790905385,"resp_time"
293.915363203137,"resp_time"
295.249502106016,"resp_time"
296.516504391015,"resp_time"
298.121308271318,"resp_time"
298.121308271318,"rft_time"
302.121308271318,"resp_time"
303.415091568019,"resp_time"
304.502631667798,"resp_time"
305.559477277262,"resp_time"
307.276996568239,"resp_time"
308.32656677893,"resp_time"
310.091409832619,"resp_time"
311.607243881884,"resp_time"
312.885034794873,"resp_time"
314.068272574471,"resp_time"
315.801132783067,"resp_time"
317.1671089606,"resp_time"
319.05449560388,"resp_time"
322.112184367085,"resp_time"
322.112184367085,"rft_time"
326.112184367085,"resp_time"
327.189395169303,"resp_time"
328.238232935213,"resp_time"
329.706757898398,"resp_time"
330.905408472367,"resp_time"
332.208487043973,"resp_time"
332.208487043973,"rft_time"
336.208487043973,"resp_time"
337.242275248944,"resp_time"
337.242275248944,"rft_time"
341.242275248944,"resp_time"
341.242275248944,"rft_time"
345.242275248944,"resp_time"
346.303174550338,"resp_time"
347.523387985299,"resp_time"
348.593035122766,"resp_time"
349.85034561105,"resp_time"
350.912071668524,"resp_time"
352.49438466795,"resp_time"
353.848159850374,"resp_time"
354.85926253684,"resp_time"
356.223250104773,"resp_time"
358.223734417769,"resp_time"
359.76021668328,"resp_time"
362.051938043018,"resp_time"
363.382481339642,"resp_time"
364.647820522503,"resp_time"
364.647820522503,"rft_time"
368.647820522503,"resp_time"
369.695683885924,"resp_time"
370.870402281936,"resp_time"
370.870402281936,"rft_time"
374.870402281936,"resp_time"
374.870402281936,"rft_time"
378.870402281936,"resp_time"
379.894947675617,"resp_time"
380.92269586743,"resp_time"
381.935159022323,"resp_time"
383.461204327373,"resp_time"
384.564615186557,"resp_time"
385.719864890893,"resp_time"
385.719864890893,"rft_time"
389.719864890893,"resp_time"
390.905102827923,"resp_time"
392.32142016553,"resp_time"
393.375852414343,"resp_time"
394.776579547882,"resp_time"
394.776579547882,"rft_time"
398.776579547882,"resp_time"
400.171109346448,"resp_time"
400.171109346448,"rft_time"
404.171109346448,"resp_time"
405.205291130214,"resp_time"
406.770506126039,"resp_time"
408.12079280652,"resp_time"
409.181547879034,"resp_time"
411.324544047121,"resp_time"
411.324544047121,"rft_time"
415.324544047121,"resp_time"
416.6147561217,"resp_time"
417.720878953059,"resp_time"
418.764491688157,"resp_time"
420.063815461741,"resp_time"
421.190102934115,"resp_time"
422.812276904305,"resp_time"
424.837206225709,"resp_time"
425.839197961726,"resp_time"
427.01823099063,"resp_time"
428.101750290187,"resp_time"
429.567063353642,"resp_time"
431.833452887019,"resp_time"
432.903361709057,"resp_time"
434.804612045267,"resp_time"
434.804612045267,"rft_time"
438.804612045267,"resp_time"
440.058132967772,"resp_time"
441.059593225487,"resp_time"
442.21274210855,"resp_time"
443.408458575424,"resp_time"
444.634234528632,"resp_time"
447.516127660779,"resp_time"
448.735874304546,"resp_time"
448.735874304546,"rft_time"
452.735874304546,"resp_time"
452.735874304546,"rft_time"
456.735874304546,"resp_time"
457.81916439993,"resp_time"
458.837101212578,"resp_time"
460.501918196496,"resp_time"
461.677645350698,"resp_time"
462.793868662194,"resp_time"
463.866452975493,"resp_time"
465.469867408959,"resp_time"
465.469867408959,"rft_time"
469.469867408959,"resp_time"
470.716843854972,"resp_time"
471.854544207268,"resp_time"
473.236302295173,"resp_time"
473.236302295173,"rft_time"
477.236302295173,"resp_time"
478.256399294708,"resp_time"
479.446368885408,"resp_time"
480.602657578918,"resp_time"
482.556788683749,"resp_time"
484.013159057054,"resp_time"
484.013159057054,"rft_time"
488.013159057054,"resp_time"
489.500328628734,"resp_time"
490.638303851105,"resp_time"
491.705837289482,"resp_time"
493.225241010046,"resp_time"
494.312835494383,"resp_time"
496.211716757798,"resp_time"
497.332044207301,"resp_time"
498.706473862637,"resp_time"
499.766431142224,"resp_time"
501.362419078564,"resp_time"
502.701555880495,"resp_time"
504.026599739486,"resp_time"
505.987112762102,"resp_time"
505.987112762102,"rft_time"
509.987112762102,"resp_time"
512.093805217591,"resp_time"
513.281308986294,"resp_time"
514.427652180657,"resp_time"
515.760133591432,"resp_time"
516.803456512361,"resp_time"
517.823038388188,"resp_time"
519.095912528941,"resp_time"
520.105909562235,"resp_time"
521.430577432351,"resp_time"
522.83820420585,"resp_time"
525.179909534135,"resp_time"
525.179909534135,"rft_time"
529.179909534135,"resp_time"
530.20817986719,"resp_time"
531.228948975404,"resp_time"
531.228948975404,"rft_time"
535.228948975404,"resp_time"
536.373122050851,"resp_time"
537.737194015281,"resp_time"
538.774535032863,"resp_time"
540.094351265368,"resp_time"
541.503867900061,"resp_time"
541.503867900061,"rft_time"
545.503867900061,"resp_time"
546.578906491863,"resp_time"
547.947275145336,"resp_time"
549.281681953413,"resp_time"
550.310847695622,"resp_time"
551.886945311486,"resp_time"
551.886945311486,"rft_time"
555.886945311486,"resp_time"
555.886945311486,"rft_time"
559.886945311486,"resp_time"
560.9593473889,"resp_time"
562.041015320594,"resp_time"
563.556074483351,"resp_time"
564.6194060456,"resp_time"
565.877959098022,"resp_time"
566.973304200451,"resp_time"
569.06981577467,"resp_time"
570.554201112592,"resp_time"
571.998420360158,"resp_time"
571.998420360158,"rft_time"
575.998420360158,"resp_time"
577.082366330345,"resp_time"
578.453002259608,"resp_time"
579.961584510141,"resp_time"
580.964571722891,"resp_time"
582.9784597284,"resp_time"
585.109757628101,"resp_time"
586.186801003064,"resp_time"
587.744072712281,"resp_time"
588.831125886794,"resp_time"
590.016831376597,"resp_time"
592.442889615085,"resp_time"
593.681902453143,"resp_time"
595.553774057586,"resp_time"
597.410669891286,"resp_time"
598.963966244537,"resp_time"
598.963966244537,"rft_time"
602.963966244537,"resp_time"
603.998059485006,"resp_time"
605.221969484722,"resp_time"
606.262503387772,"resp_time"
607.921721734441,"resp_time"
609.591244745251,"resp_time"
610.642866573815,"resp_time"
611.972732626202,"resp_time"
613.052686236666,"resp_time"
614.297237240501,"resp_time"
615.502500166659,"resp_time"
616.79069567396,"resp_time"
618.693343446718,"resp_time"
620.224976635806,"resp_time"
621.838976114151,"resp_time"
623.456668738177,"resp_time"
623.456668738177,"rft_time"
627.456668738177,"resp_time"
628.651068959697,"resp_time"
629.909382612237,"resp_time"
631.054867004849,"resp_time"
632.501636529921,"resp_time"
633.590675452279,"resp_time"
634.691992612009,"resp_time"
635.942672039553,"resp_time"
637.694733719143,"resp_time"
638.865422980061,"resp_time"
639.99331944227,"resp_time"
641.308230225624,"resp_time"
642.660495218897,"resp_time"
644.048753246594,"resp_time"
645.734983184899,"resp_time"
648.104715497387,"resp_time"
649.150897930047,"resp_time"
651.593953269606,"resp_time"
652.714990682398,"resp_time"
653.978623116878,"resp_time"
655.02472253587,"resp_time"
656.819561643815,"resp_time"
657.867409660057,"resp_time"
659.073014690814,"resp_time"
659.073014690814,"rft_time"
663.073014690814,"resp_time"
664.268343038157,"resp_time"
665.791344692416,"resp_time"
667.081872857641,"resp_time"
668.099932239049,"resp_time"
669.558633998497,"resp_time"
671.05686341073,"resp_time"
672.332577703207,"resp_time"
673.702534346911,"resp_time"
673.702534346911,"rft_time"
677.702534346911,"resp_time"
679.165411300004,"resp_time"
680.651285643917,"resp_time"
680.651285643917,"rft_time"
684.651285643917,"resp_time"
685.744144443126,"resp_time"
686.924205032023,"resp_time"
688.235521083017,"resp_time"
689.336378650398,"resp_time"
690.66798495194,"resp_time"
690.66798495194,"rft_time"
694.66798495194,"resp_time"
694.66798495194,"rft_time"
698.66798495194,"resp_time"
699.992916757309,"resp_time"
701.62734362044,"resp_time"
702.840957480055,"resp_time"
704.137468507561,"resp_time"
706.415505131535,"resp_time"
707.686614556535,"resp_time"
708.869482482857,"resp_time"
710.145136837689,"resp_time"
711.18400404875,"resp_time"
712.990663190551,"resp_time"
714.073662692045,"resp_time"
715.669825540996,"resp_time"
717.329725273361,"resp_time"
718.407797797645,"resp_time"
719.984532433402,"resp_time"
719.984532433402,"rft_time"
723.984532433402,"resp_time"
723.984532433402,"rft_time"
727.984532433402,"resp_time"
729.394037736252,"resp_time"
730.472951237755,"resp_time"
731.553881140672,"resp_time"
732.69277681208,"resp_time"
734.066823644019,"resp_time"
735.203522007122,"resp_time"
736.769740328921,"resp_time"
737.838114302707,"resp_time"
739.209115576486,"resp_time"
740.25841136788,"resp_time"
741.874872478374,"resp_time"
743.407509359803,"resp_time"
746.861129927639,"resp_time"
747.872930202773,"resp_time"
749.033161875762,"resp_time"
750.21253442682,"resp_time"
751.261472338939,"resp_time"
752.976777911146,"resp_time"
754.612620533574,"resp_time"
755.740399608415,"resp_time"
757.11817462044,"resp_time"
757.11817462044,"rft_time"
761.11817462044,"resp_time"
762.237380664778,"resp_time"
762.237380664778,"rft_time"
766.237380664778,"resp_time"
767.724366202876,"resp_time"
768.798680106179,"resp_time"
769.976111843767,"resp_time"
771.319716310872,"resp_time"
772.349131885152,"resp_time"
773.492013255216,"resp_time"
774.937861112755,"resp_time"
775.983368010516,"resp_time"
777.27450648971,"resp_time"
778.461491652155,"resp_time"
779.511184928628,"resp_time"
780.644631422942,"resp_time"
782.681966768536,"resp_time"
782.681966768536,"rft_time"
786.681966768536,"resp_time"
787.842073052148,"resp_time"
788.869771843062,"resp_time"
789.991906673327,"resp_time"
791.156944681115,"resp_time"
792.278720173937,"resp_time"
793.502423423814,"resp_time"
793.502423423814,"rft_time"
797.502423423814,"resp_time"
798.815519649537,"resp_time"
798.815519649537,"rft_time"
802.815519649537,"resp_time"
803.91123382513,"resp_time"
805.240325341066,"resp_time"
806.393155495888,"resp_time"
807.401674742489,"resp_time"
807.401674742489,"rft_time"
811.401674742489,"resp_time"
812.605035214459,"resp_time"
813.84479275188,"resp_time"
814.90481313497,"resp_time"
816.637178190204,"resp_time"
816.637178190204,"rft_time"
820.637178190204,"resp_time"
821.719264472586,"resp_time"
822.730477724556,"resp_time"
822.730477724556,"rft_time"
826.730477724556,"resp_time"
827.92233388848,"resp_time"
829.182355546467,"resp_time"
830.505430929655,"resp_time"
831.738076550154,"resp_time"
832.921268613491,"resp_time"
832.921268613491,"rft_time"
836.921268613491,"resp_time"
837.939288669847,"resp_time"
838.986473188723,"resp_time"
840.166631270431,"resp_time"
840.166631270431,"rft_time"
844.166631270431,"resp_time"
845.824095270184,"resp_time"
847.264996691399,"resp_time"
848.520841988581,"resp_time"
849.528412390924,"resp_time"
850.585007859238,"resp_time"
851.702084604538,"resp_time"
851.702084604538,"rft_time"
855.702084604538,"resp_time"
857.113866734022,"resp_time"
858.173455620679,"resp_time"
859.483043509991,"resp_time"
861.082131143869,"resp_time"
862.269592736847,"resp_time"
863.384804065301,"resp_time"
863.384804065301,"rft_time"
867.384804065301,"resp_time"
868.442144498321,"resp_time"
869.733698826779,"resp_time"
871.637900930125,"resp_time"
872.639813335917,"resp_time"
873.685448126403,"resp_time"
874.74639098751,"resp_time"
875.956133569684,"resp_time"
876.97698763275,"resp_time"
878.084653708725,"resp_time"
879.135806686403,"resp_time"
880.861128983817,"resp_time"
882.624249958604,"resp_time"
883.764869614007,"resp_time"
885.557856745568,"resp_time"
886.633249253584,"resp_time"
886.633249253584,"rft_time"
890.633249253584,"resp_time"
891.729292770755,"resp_time"
893.072272042972,"resp_time"
894.210414736041,"resp_time"
895.860310407177,"resp_time"
897.160878130187,"resp_time"
898.305840463167,"resp_time"
898.305840463167,"rft_time"
902.305840463167,"resp_time"
903.311392304683,"resp_time"
904.619172067236,"resp_time"
905.708948504895,"resp_time"
906.826222699953,"resp_time"
906.826222699953,"rft_time"
910.826222699953,"resp_time"
911.980165022843,"resp_time"
911.980165022843,"rft_time"
915.980165022843,"resp_time"
917.026233298819,"resp_time"
918.173486332353,"resp_time"
918.173486332353,"rft_time"
922.173486332353,"resp_time"
923.725702113085,"resp_time"
924.815693396375,"resp_time"
925.847253232352,"resp_time"
927.099349537801,"resp_time"
928.335901691562,"resp_time"
929.730829446595,"resp_time"
930.782114049417,"resp_time"
932.085025399099,"resp_time"
933.160595038046,"resp_time"
934.205849653137,"resp_time"
935.674535682686,"resp_time"
936.74661535233,"resp_time"
938.098117537394,"resp_time"
939.163888499475,"resp_time"
940.219943547573,"resp_time"
941.310417841469,"resp_time"
942.33496680006,"resp_time"
945.002403000064,"resp_time"
946.143854581302,"resp_time"
947.381210191308,"resp_time"
947.381210191308,"rft_time"
951.381210191308,"resp_time"
952.512302350729,"resp_time"
953.651122847044,"resp_time"
953.651122847044,"rft_time"
957.651122847044,"resp_time"
958.745294513883,"resp_time"
959.768763433364,"resp_time"
961.133276413866,"resp_time"
962.195317525528,"resp_time"
963.547669646051,"resp_time"
964.709110427521,"resp_time"
966.096193930025,"resp_time"
967.200155781309,"resp_time"
967.200155781309,"rft_time"
971.200155781309,"resp_time"
971.200155781309,"rft_time"
975.200155781309,"resp_time"
976.259615895872,"resp_time"
977.339537350876,"resp_time"
977.339537350876,"rft_time"
981.339537350876,"resp_time"
982.526069903829,"resp_time"
983.680006835431,"resp_time"
984.804355643984,"resp_time"
985.83036601354,"resp_time"
986.873304218904,"resp_time"
988.383116620136,"resp_time"
989.467202737444,"resp_time"
990.509884874462,"resp_time"
991.71186841218,"resp_time"
993.610383116577,"resp_time"
994.633468169028,"resp_time"
995.937091054837,"resp_time"
997.75173736146,"resp_time"
999.568544611944,"resp_time"
1000.97250860647,"resp_time"
